GeneID,Name,k1’,k2,k2’,kdeg,Transport
ENSMUSG00000007872.3,Id3,-0.136696611794509,-0.384314484708229,-0.866539656148698,-1.16339246568515,-0.618921783234979
ENSMUSG00000053560.4,Ier2,0.03983766223144,-0.483467752408147,-0.541699943176195,-0.823351469310884,-0.018394528536607
ENSMUSG00000048806.4,Ifnb1,3.90313736484955,3.30935131393666,-1.11509707290584,-1.19542391733424,-0.521311021992946
ENSMUSG00000001627.12,Ifrd1,-0.203121475862248,-0.279618282904116,-1.71703368023349,-1.67835759626399,-1.64053687319162
ENSMUSG00000035004.3,Igsf6,-0.216062952087363,-0.455876036284476,-2.06998525389634,-2.30537015414755,-1.83017216969923
ENSMUSG00000016529.5,Il10,-0.080287104903635,-0.341784654003042,-1.07576323651261,-1.0645268940949,-0.8142656874132
ENSMUSG00000004296.14,Il12b,-0.336389886274407,-0.649689199682827,-1.49101255102271,-1.90815697897683,-1.17771323761429
ENSMUSG00000002897.5,Il17ra,-0.574343818217,-0.80381533483055,-1.81474858510696,-1.92551375409731,-1.58527706849341
ENSMUSG00000027399.1,Il1a,0.031304406571989,-0.40462483585035,-1.05078075542832,-1.42214066088771,-0.614851513005981
ENSMUSG00000027398.13,Il1b,-0.242540109869133,-0.480554396809051,-1.15048011954391,-1.68449376277782,-0.912465832603988
ENSMUSG00000026981.15,Il1rn,0.191987085880448,-0.314007907692474,-1.51840764118724,-2.56315299381583,-1.01241264761432
ENSMUSG00000025383.2,Il23a,-0.379230756712113,-0.61127693344848,-1.23350041575032,-1.27697223933863,-1.00145423901396
ENSMUSG00000025746.11,Il6,-0.042754028913126,-0.261794038192172,-1.06343738670634,-1.31569555586405,-0.844397377427291
ENSMUSG00000018899.16,Irf1,-0.158953366337117,-0.18884794758898,-1.44204366118095,-1.59508443674285,-1.41214907992909
ENSMUSG00000038894.7,Irs2,-0.210430201992285,-0.710152302345323,-0.930454306100276,-1.25062027178644,-0.430732205747239
ENSMUSG00000000555.7,Itga5,-0.534040546791979,-0.67461294928048,-1.96367756695504,-1.94455092093858,-1.82310516446653
ENSMUSG00000027087.11,Itgav,-0.428331398189894,-0.969752802585098,-2.12674468262305,-2.40048049240047,-1.58532327822785
ENSMUSG00000027276.7,Jag1,-0.200288051426078,-0.351769424051111,-1.75639313084749,-1.78079713756375,-1.60491175822246
ENSMUSG00000052837.6,Junb,-0.190481149044996,-0.699506463702717,-0.611950952949722,-0.967343615673384,-0.102925638292001
ENSMUSG00000098557.1,Kctd12,-0.173876922406565,-0.709318693804929,-1.59614429839693,-2.10426443553736,-1.06070252699857
ENSMUSG00000000078.7,Klf6,0.068974960632639,-0.208864884813091,-1.04876458868583,-1.28852810999934,-0.770924743240095
ENSMUSG00000025959.13,Klf7,-0.254119806459345,-0.577598986927924,-1.36230910244205,-1.35948645499313,-1.03882992197347
ENSMUSG00000021929.8,Kpna3,-0.291126582915751,-0.648422599778156,-1.52059160889443,-2.13862165311312,-1.16329559203203
